product_id,product_name,brand,package_quantity,package_unit,product_category,from_date,to_date,percentage_of_discount
P004,iaurt grecesc,Proxi,0.4,kg,lactate,5/8/2025,5/14/2025,9
P007,oua marimea M,Din Ograd?,10,buc,oua,5/8/2025,5/14/2025,10
P020,spaghetti nr 5,Barilla,500,g,paste fainoase,5/9/2025,5/15/2025,15
P024,apa plata,Aqua Carpatica,2,l,bauturi,5/10/2025,5/16/2025,7
P030,ulei floarea-soarelui,Spornic,1,l,alimente de baza,5/8/2025,5/14/2025,6
P039,detergent lichid,Dero,2.5,l,produse de menaj,5/9/2025,5/15/2025,18
P045,hartie igienica 3 straturi,Motto,10,role,produse de menaj,5/10/2025,5/16/2025,12
P051,vin alb demisec,Cotnari,0.75,l,bauturi,5/8/2025,5/14/2025,10
P059,morcovi,Generic,0.5,kg,legume si fructe,5/9/2025,5/15/2025,5
P067,orez bob lung,Deroni,1,kg,alimente de baza,5/10/2025,5/16/2025,8
P068,iaurt de baut,Activia,0.33,kg,lactate,5/8/2025,5/14/2025,10
P069,paste de dinti,Colgate,100,ml,ingrijire personala,5/9/2025,5/15/2025,15
P070,bere blonda,Ursus,0.5,l,bauturi,5/10/2025,5/16/2025,6
